shipment_id,shipment_date,provider_name,lane,weight_kg,commodity_type,promised_delivery,actual_delivery,delay_days,total_cost_eur,actual_cost_per_kg,status,delay_reason,customer_complaint
10,2024-02-08,DHL Freight,Rotterdam → Paris,1800.00,Machinery,2024-02-11,2024-02-11,0,743.40,0.4130,Delivered,NULL,0
9,2024-01-15,DHL Freight,Rotterdam → Paris,600.00,Electronics,2024-01-17,2024-01-17,0,247.80,0.4130,Delivered,NULL,0
50,2024-05-01,Kuehne+Nagel,Eindhoven → Warsaw,600.00,Textiles,2024-05-05,2024-05-07,2,301.86,0.5031,Delayed,Road works,0
49,2024-04-14,Kuehne+Nagel,Eindhoven → Warsaw,2300.00,Consumer Goods,2024-04-19,2024-04-19,0,968.76,0.4212,Delivered,NULL,0
48,2024-03-08,Kuehne+Nagel,Eindhoven → Warsaw,550.00,Electronics,2024-03-12,2024-03-13,1,276.71,0.5031,Delayed,Customs delay,0
47,2024-02-10,Kuehne+Nagel,Eindhoven → Warsaw,1700.00,Machinery,2024-02-15,2024-02-15,0,855.27,0.5031,Delivered,NULL,0
46,2024-01-16,Kuehne+Nagel,Eindhoven → Warsaw,950.00,Auto Parts,2024-01-20,2024-01-20,0,477.95,0.5031,Delivered,NULL,0
33,2024-05-08,DB Schenker,Eindhoven → Warsaw,3100.00,Consumer Goods,2024-05-13,2024-05-13,0,1191.80,0.3845,Delivered,NULL,0
32,2024-04-12,DB Schenker,Eindhoven → Warsaw,1300.00,Electronics,2024-04-16,2024-04-17,1,605.80,0.4660,Delayed,Road closure,0
31,2024-03-18,DB Schenker,Eindhoven → Warsaw,450.00,Textiles,2024-03-22,2024-03-22,0,209.70,0.4660,Delivered,NULL,0
30,2024-02-05,DB Schenker,Eindhoven → Warsaw,2600.00,Machinery,2024-02-10,2024-02-10,0,999.57,0.3845,Delivered,NULL,0
29,2024-01-12,DB Schenker,Eindhoven → Warsaw,700.00,Auto Parts,2024-01-16,2024-01-16,0,326.20,0.4660,Delivered,NULL,0
16,2024-04-30,DHL Freight,Eindhoven → Warsaw,1100.00,Electronics,2024-05-04,2024-05-04,0,597.08,0.5428,Delivered,NULL,0
15,2024-03-25,DHL Freight,Eindhoven → Warsaw,400.00,Textiles,2024-03-29,2024-03-29,0,217.12,0.5428,Delivered,NULL,0
14,2024-02-14,DHL Freight,Eindhoven → Warsaw,2200.00,Machinery,2024-02-18,2024-02-20,2,1194.16,0.5428,Delayed,Border control,1
13,2024-01-20,DHL Freight,Eindhoven → Warsaw,800.00,Auto Parts,2024-01-24,2024-01-24,0,434.24,0.5428,Delivered,NULL,0
